player_id,name,height,weight,team,position,team_id
1629651,Nic Claxton,6-11,215.0,BKN,Center,1610612751.0
1642270,Donovan Clingan,7-2,280.0,POR,Center,1610612757.0
1641730,Noah Clowney,6-9,210.0,BKN,Forward-Center,1610612751.0
1629599,Amir Coffey,6-7,210.0,LAC,Guard-Forward,1610612746.0
1642268,Isaiah Collier,6-3,210.0,UTA,Guard,1610612762.0
1628381,John Collins,6-9,226.0,LAC,Forward-Center,1610612746.0
1641879,Yuri Collins,6-0,190.0,,Guard,
1628380,Zach Collins,6-11,250.0,CHI,Forward-Center,1610612741.0
201144,Mike Conley,6-0,175.0,MIN,Guard,1610612750.0
1626192,Pat Connaughton,6-5,209.0,CHA,Guard,1610612766.0
1641731,Bilal Coulibaly,6-8,195.0,WAS,Guard,1610612764.0
1641741,Ricky Council IV,6-6,207.0,PHI,Guard,1610612755.0
1628470,Torrey Craig,6-5,221.0,BOS,Forward,1610612738.0
1642384,Isaiah Crawford,6-6,220.0,HOU,Forward,1610612745.0
203109,Jae Crowder,6-6,235.0,SAC,Forward,1610612758.0
1630595,Cade Cunningham,6-6,220.0,DET,Guard,1610612765.0
203552,Seth Curry,6-1,185.0,CHA,Guard,1610612766.0
201939,Stephen Curry,6-2,185.0,GSW,Guard,1610612744.0
1642359,Pacôme Dadiet,6-8,210.0,NYK,Forward,1610612752.0
1630700,Dyson Daniels,6-7,199.0,ATL,Guard,1610612737.0
1642368,N'Faly Dante,6-11,230.0,HOU,Center,1610612745.0
203076,Anthony Davis,6-10,253.0,DAL,Forward-Center,1610612742.0
1631098,Johnny Davis,6-4,195.0,,Guard,
1631120,JD Davison,6-1,195.0,HOU,Guard,1610612745.0
201942,DeMar DeRozan,6-6,220.0,SAC,Guard-Forward,1610612758.0
1642484,RayJ Dennis,6-2,180.0,IND,Guard,1610612754.0
1628978,Donte DiVincenzo,6-4,203.0,MIN,Guard,1610612750.0
1631217,Moussa Diabaté,6-9,210.0,CHA,Forward,1610612766.0
1641711,Gradey Dick,6-6,200.0,TOR,Guard-Forward,1610612761.0
1631172,Ousmane Dieng,6-9,185.0,OKC,Forward,1610612760.0
1642265,Rob Dillingham,6-3,175.0,MIN,Guard,1610612750.0
203915,Spencer Dinwiddie,6-5,215.0,CHA,Guard,1610612766.0
1629029,Luka Dončić,6-6,230.0,LAL,Forward-Guard,1610612747.0
1629652,Luguentz Dort,6-4,220.0,OKC,Guard,1610612760.0
1630245,Ayo Dosunmu,6-5,200.0,CHI,Guard,1610612741.0
1630288,Jeff Dowtin Jr.,6-3,177.0,PHI,Guard,1610612755.0
1628408,PJ Dozier,6-6,205.0,,Guard-Forward,
203083,Andre Drummond,6-11,279.0,PHI,Center,1610612755.0
1630537,Chris Duarte,6-5,190.0,,Guard,
1642505,Alex Ducas,6-7,220.0,OKC,Guard,1610612760.0
1630561,David Duke Jr.,6-4,204.0,SAS,Guard,1610612759.0
1627739,Kris Dunn,6-3,205.0,LAC,Guard,1610612746.0
1642346,Ryan Dunn,6-8,216.0,PHX,Forward,1610612756.0
201142,Kevin Durant,6-11,240.0,HOU,Forward,1610612745.0
1631105,Jalen Duren,6-10,250.0,DET,Center,1610612765.0
1631106,Tari Eason,6-8,215.0,HOU,Forward,1610612745.0
1641744,Zach Edey,7-4,305.0,MEM,Center,1610612763.0
1630162,Anthony Edwards,6-4,225.0,MIN,Guard,1610612750.0
1642399,Jesse Edwards,7-0,236.0,MIN,Center,1610612750.0
1642348,Justin Edwards,6-7,203.0,PHI,Forward,1610612755.0
1630556,Kessler Edwards,6-7,203.0,DEN,Forward,1610612743.0
1631165,Keon Ellis,6-4,175.0,SAC,Guard,1610612758.0
203954,Joel Embiid,7-0,280.0,PHI,Center-Forward,1610612755.0
1630623,Tyson Etienne,6-2,200.0,BKN,Guard,1610612751.0
1629234,Drew Eubanks,6-10,245.0,SAC,Forward-Center,1610612758.0
1641787,Tosan Evbuomwan,6-7,217.0,BKN,Forward,1610612751.0
203957,Danté Exum,6-5,214.0,DAL,Guard,1610612742.0
1628981,Bruno Fernando,6-9,240.0,,Forward-Center,
1642271,Kyle Filipowski,6-11,250.0,UTA,Center,1610612762.0
1627827,Dorian Finney-Smith,6-7,220.0,HOU,Forward,1610612745.0
1641745,Adam Flagler,6-3,180.0,SAS,Guard,1610612759.0
1642280,Trentyn Flowers,6-9,185.0,LAC,Forward,1610612746.0
1630201,Malachi Flynn,6-1,185.0,,Guard,
1631323,Simone Fontecchio,6-7,209.0,MIA,Forward,1610612748.0
1628368,De'Aaron Fox,6-3,185.0,SAS,Guard,1610612759.0
1642402,Enrique Freeman,6-7,220.0,MIN,Forward,1610612750.0
1628365,Markelle Fultz,6-4,209.0,SAC,Guard,1610612758.0
1642277,Johnny Furphy,6-9,200.0,IND,Guard,1610612754.0
1629655,Daniel Gafford,6-10,265.0,DAL,Forward-Center,1610612742.0
1629636,Darius Garland,6-1,192.0,CLE,Guard,1610612739.0
1630585,Marcus Garrett,6-5,205.0,,Guard,
1630568,Luka Garza,6-10,243.0,BOS,Center,1610612738.0
1641718,Keyonte George,6-4,185.0,UTA,Guard,1610612762.0
1642273,Kyshawn George,6-8,200.0,WAS,Forward,1610612764.0
202331,Paul George,6-8,220.0,PHI,Forward,1610612755.0
